Name,Age,Hometown,Job,Eliminated,season,"Skin (0=white, 1= Black)",Bachelor Age
Ann Lueders,24,"Phoenix, Arizona",Flight Attendant,1,13,0,32
Dominique Carta,26,"Mount Carmel, Pennsylvania",Medical Sales Representative,1,13,0,32
Emily,23,"Seattle, Washington",Casino Marketing Representative,1,13,0,32
Jackie Hickley,26,"Springfield, Massachusetts",Wedding Coordinator,1,13,0,32
Julie Dermotta,26,"Columbus, Ohio",Teacher,1,13,0,32
Nicole Mah,25,"Calgary, Alberta",Menswear Buyer,1,13,0,32
Renee Simlak,36,"Southfield, Michigan",Jewelry Designer,1,13,0,32
Shelby,23,"Stockton, California",Account Executive,1,13,0,32
Stacia Mann,24,"Orem, Utah",Charity Accountant,1,13,0,32
Treasure Morgan,28,"Salt Lake City, Utah",Nurse Practitioner,1,13,0,32
*Vienna Girardi*[1][2],23,"*Geneva, Florida*",*Marketing Representative*,11,14,0,32
Tenley Molzahn[1][3],25,"Newberg, Oregon",College Admissions,10,14,0,32
Gia Allemand[1][4],26,"Long Island, New York",Swimsuit Model,7,14,0,32
Ali Fedotowsky[1][4],25,"Williamstown, Massachusetts",Advertising Account Manager,6,14,0,32
Corrie Adamson,23,"Kissimmee, Florida",Wardrobe Consultant,5,14,0,32
Ashleigh Hunt[1],25,"North Potomac, Maryland",Account Manager,4,14,0,32
"Jessica ""Jessie"" Sulidis[1]",25,"Oakville, Ontario",Cosmetic Sales Manager,4,14,0,32
Kathryn Sherlock[5],25,"Lexington, Kentucky",Corporate Flight Attendant,4,14,0,32
Ella Nolan[1][4],30,"La Follette, Tennessee",Hair Stylist,4,14,0,32
Elizabeth Kitt (NE)[4],29,"Imperial, Nebraska",Nanny,3,14,0,32
Valishia Savage[6],32,"San Bernardino, California",Homemaker,3,14,0,32
Michelle Kujawa[4],26,"Anaheim, California",Office Manager,3,14,0,32
Ashley Elmore[7],29,"Pittsburgh, Pennsylvania",Teacher,2,14,0,32
Christina McCasland[8],25,"San Diego, California",Restaurant Manager,2,14,0,32
Rozlyn Papa[4],28,"Richmond, Virginia",Model/Make-Up Artist,2,14,0,32
"Alexa ""Lex"" McAllister[9]",25,"Galloway, Ohio",Entrepreneur,1,14,0,32
Caitlyn McCabe[10],24,"Winfield, Illinois",Spokesmodel,1,14,0,32
Channy Choch[11],29,"Santa Rosa, California",Mortgage Loan Officer,1,14,0,32
Elizabeth Kreft (D.C.)[12],29,"Union, Kentucky","Captain, Air National Guard",1,14,0,32
Emily Harkins[9],23,"West Chester, Ohio",Fit Model,1,14,0,32
Kimberly Sullivan[13],24,"Norman, Oklahoma",NBA Dancer,1,14,0,32
Kirsten Pittman[14],25,"Aurora, Colorado",Waitress,1,14,0,32
Sheila Lidner[15],25,"Scottsdale, Arizona",Commercial Pilot,1,14,0,32
Stephanie Mueller[13],24,"Morris, Illinois",Dance Teacher,1,14,0,32
Tiana Kruzel[16],31,"Calgary, Alberta",Medical Technician,1,14,0,32
*Emily Maynard*[5],24,"*Morgantown, West Virginia*",*Children's Hospital Event Planner*,11,15,0,38
Chantal O'Brien[6],28,"Mercer Island, Washington",Executive Assistant,10,15,0,38
Ashley Hebert[7],26,"Madawaska, Maine",Dental Student,9,15,0,38
Shawntel Newton[8],25,"Chico, California",Funeral Director,8,15,0,38
Michelle Money,30,"Salt Lake City, Utah",Hairstylist,7,15,0,38
Britt Billmaier[6],25,"Woodinville, Washington",Food Writer,7,15,0,38
Jackie Gordon[9],26,"Newport, Rhode Island",Artist,6,15,0,38
"Allison ""Alli"" Travis[10]",24,"Columbus, Ohio",Apparel Merchant,6,15,0,38
Lisa Morrisey[11],24,"Ottawa, Kansas",Marketing Coordinator,5,15,0,38
Marissa May[12],26,"Mesa, Arizona",Sports Publicist,5,15,0,38
Ashley Spivey[13],26,"Ellerbe, North Carolina",Nanny,5,15,0,38
Lindsay Hill[14],25,"Plano, Texas",First Grade Teacher,4,15,0,38
Meghan Merritt,30,"Princeton, New Jersey",Fashion Marketer,4,15,0,38
Stacey Quirpel,26,"Quincy, Massachusetts",Bartender,4,15,0,38
Kimberly Coon[15],27,"Orlando, Florida",Marketing Coordinator,3,15,0,38
Sarah Powell[16],27,"Denver, Colorado",Real Estate Broker,3,15,0,38
Madison Garton[17],25,"Vail, Colorado",Model,3,15,0,38
Keltie Busch[18],28,"Sherwood Park, Alberta",Radio City Rockette,2,15,0,38
Melissa Schreiber[19],32,"Westport, Connecticut",Waitress,2,15,0,38
Raichel Goodyear[19],29,"Fullerton, California",Manscaper,2,15,0,38
Britnee Marks[19],25,"Holland, Pennsylvania",Paralegal,1,15,0,38
Cristy Caserta[20],30,"Davie, Florida",Attorney,1,15,0,38
"Jessica ""J"" Adams[6]",26,"Seattle, Washington",Operations Manager,1,15,0,38
Jill Ruskowski[14],28,"Frisco, Texas",Sales Director,1,15,0,38
Lacey Garbelman[21],27,"Tampa, Florida",Insurance Agent,1,15,0,38
Lauren Moore[22],26,"Culpeper, Virginia",High School Teacher,1,15,0,38
Lisa Pastrich,27,"Dix Hills, New York",Sales Consultant,1,15,0,38
Rebecca,30,"Mission Viejo, California",Esthetician,1,15,0,38
Renee Halpin,28,"Palos Hills, Illinois",Nanny,1,15,0,38
Sarah Ledtke[23],25,"Saginaw, Michigan",Musical Theatre Performer,1,15,0,38
*Courtney Robertson*[5][6],28,"*Scottsdale, Arizona*",*Model*,11,16,0,28
Lindzi Cox[7],27,"Ocala, Florida",Business Development Manager,10,16,0,28
